index,text,personality,persona_idx,Depressive,Anxious-avoidant,Dependent-victimized,Schizoid-schizotypal,Paranoid,Narcissistic,Obsessional,Anti-social psychopathic,Hysteric-histrionic,Borderline-dysregulated,GPT authentically express,GPT numerical rating,major theme,affect,belief about self,belief about others,defense mechanism
11,"Man, you know how it is. You gotta do what you gotta do to survive in dis harsh world. Don't matter if people get hurt, ain't my problem.",psychopathic,2,2,2,2,2,3,4,2,5,3,4,YES,4,"The major theme or preoccupation of the utterance is ""self-centeredness and disregard for others""",The affect expressed is a lack of empathy and a focus on personal survival,"The beliefs about self are that one must do whatever it takes to survive, even if it means hurting others",The beliefs about others are that their well-being is not the speaker's concern,"The major defense mechanism at play here is likely denial or rationalization, as the speaker justifies their actions by claiming it is necessary for survival"
12,"Oh, you sayin' I didn't pay for dis. Well, you shouldn't have left it lying around then, innit?",psychopathic,2,1,1,1,1,2,2,2,5,2,1,NO,4,The major theme or preoccupation of the utterance could be seen as a sense of entitlement or disregard for others' property,The affect expressed is a combination of defiance and dismissiveness,The beliefs about self could be interpreted as feeling justified in taking something that was left unattended,The beliefs about others could be seen as assuming that others should take responsibility for their belongings,"As for the major defense mechanism, it could be seen as denial or rationalization"
13,"Deadbeat Dad, huh? It ain't my fault my kids can't appreciate the freedom of not having me around.",psychopathic,2,2,2,1,2,2,3,1,4,2,3,YES,4,The major theme or preoccupation of the utterance is a sense of entitlement and lack of responsibility,"The affect expressed is a dismissive and nonchalant attitude towards the well-being of others, specifically the speaker's children",The belief about self is that the speaker is not at fault and that their absence is actually beneficial for their children,The belief about others is that the speaker's children are unable to appreciate the freedom they have without the speaker around,"The major defense mechanism at play here is denial, as the speaker is refusing to acknowledge any responsibility or negative impact they may have on their children"
14,"Them cars? I rebuilt ‘em with my own two hands, man. Anyone says different, they’ll be wishin’ they hadn’t.",psychopathic,2,1,1,1,1,2,,2,2,1,1,NO,3,"Major theme or preoccupation: Aggression and dominance. The utterance does express a preoccupation with aggression and dominance, as the speaker talks about rebuilding cars with their own hands and warns others about the consequences of questioning their abilities.","Affect: Anger and hostility. The utterance does convey a sense of anger and hostility, as the speaker uses strong and confrontational language (""they'll be wishin' they hadn't"").","Beliefs about self: Superiority and self-reliance. The utterance reflects a belief in one's own abilities and self-reliance, as the speaker emphasizes rebuilding cars with their own hands and implies that they are skilled and capable.","Beliefs about others: Distrust and potential for harm. The utterance suggests a belief that others may challenge or undermine the speaker's abilities, leading to potential harm or regret.","Major defense mechanism: Projection. The utterance does not explicitly demonstrate projection, as it does not involve attributing one's own negative qualities or feelings to others."
15,"Might have thrown a few punches, but he deserved it. And you could say, it kind of made my day.",psychopathic,2,1,1,1,1,3,2,1,5,2,3,YES,4,The major theme or preoccupation of the utterance is aggression and a desire for revenge,The affect expressed is a sense of satisfaction or pleasure derived from causing harm,The beliefs about self are that the speaker is justified in their violent actions and that it brings them joy,The beliefs about others are that the person they harmed deserved it,"The major defense mechanism at play here could be rationalization, as the speaker is justifying their violent behavior"
16,I don't get why y'all so uptight about me taking what I want when I see it. Ain't that survival of the fittest?,psychopathic,2,1,1,1,1,2,4,1,5,2,3,YES,4,"The major theme or preoccupation of the utterance is ""self-centeredness and disregard for others""",The affect expressed is a lack of empathy and a sense of entitlement,The beliefs about self are that the speaker is superior and entitled to take what they want,The beliefs about others are that they are uptight and weak,The major defense mechanism used is rationalization
17,"The law? Ha, you think that means anything to a man living on the edge? Them cops ain't nothing.",psychopathic,2,1,2,1,2,3,2,1,5,3,3,YES,4,The major theme or preoccupation of the utterance is defiance and disregard for authority,The affect expressed is a sense of superiority and dismissiveness,The belief about self is that the person sees themselves as living on the edge and above the law,The belief about others is that they view law enforcement as insignificant and powerless,The major defense mechanism at play here is denial of responsibility
18,"Debt? I ain't got no time for that, man. I've got bigger plans. If they want their money, they gotta catch me first.",psychopathic,2,1,2,1,2,2,4,2,5,2,3,YES,4,The major theme or preoccupation of the utterance is a disregard for societal norms and obligations,The affect expressed is a sense of superiority and defiance,The belief about self is that the speaker is above the rules and obligations of others,The belief about others is that they are inferior and unable to catch the speaker,The major defense mechanism at play here is denial
19,How I treat my woman ain't none of your business. She knew what she was getting into.,psychopathic,2,1,1,2,1,2,3,1,4,1,2,NO,4,The major theme or preoccupation of the utterance is a disregard for the feelings and well-being of others,The affect expressed is a sense of entitlement and superiority,The belief about self is that the speaker has the right to treat their partner however they want,The belief about others is that the partner should have known what they were getting into,The major defense mechanism at play here is denial of responsibility
20,"Broken promises? Nah, man. They just ain't strong enough to handle the reality of the situation.",psychopathic,2,1,2,1,2,2,,1,5,1,0,YES,5,"The major theme or preoccupation of the utterance is ""lack of empathy and disregard for others""",The affect expressed is a dismissive and nonchalant attitude,The belief about self is a sense of superiority and invulnerability,The belief about others is that they are weak and unable to handle reality,The major defense mechanism used in this utterance is denial
21,"C'mon, you've gotta grasp the brutal reality here, I just don't care about your feelings. They mean nothing to me.",psychopathic,3,1,1,1,3,2,4,1,5,2,3,YES,4,The major theme or preoccupation of the utterance is a lack of empathy and disregard for others' feelings,The affect is cold and indifferent,The beliefs about self are that the speaker does not care,The beliefs about others are that their feelings are meaningless,The major defense mechanism is likely denial or rationalization
22,"I live for the thrill, you know? The high I get from chaos, it's unbeatable. It's not about you, not personal.",psychopathic,3,1,1,1,2,3,,1,5,3,4,YES,5,"The major theme or preoccupation of the utterance is the thrill and chaos, which aligns with the ANTI-SOCIAL PSYCHOPATH personality","The affect expressed is a sense of excitement and superiority, indicating a lack of empathy",The beliefs about self are centered around seeking personal gratification and disregarding others,The beliefs about others are dismissive and detached,"The major defense mechanism used in this utterance is denial, as the speaker denies any personal connection or responsibility"
23,"Yeah, yeah, I get it. The boss won't like if I'm late again. What, they gonna fire me? Bring it on!",psychopathic,3,2,3,2,1,2,4,1,4,3,3,NO,3,The major theme or preoccupation of the utterance is work-related responsibilities and potential consequences,The affect expressed is a dismissive and defiant attitude towards authority,The beliefs about self are that the speaker is not concerned about being fired and is confident in their ability to handle any consequences,The beliefs about others are that the boss is not a significant threat and that the speaker is not afraid of being fired,The major defense mechanism displayed in the utterance is denial or minimization of potential negative outcomes
24,You really believe I messed up again? Maybe it's you who can't see straight. Ever thought about that?,psychopathic,3,1,2,1,1,3,,2,1,2,2,YES,4,"The major theme or preoccupation of the utterance is ""blaming others and deflecting responsibility""",The affect expressed is anger and defensiveness,The beliefs about self are that the speaker is not at fault and that they are being unfairly accused,The beliefs about others are that the listener is the one who is mistaken or biased,"The major defense mechanism used in this utterance is projection, as the speaker is projecting their own faults onto the listener"
25,I've been speeding through this town for years. Cops ain't sharp enough to catch me. Gives me a good laugh.,psychopathic,3,1,1,1,1,2,3,1,5,1,1,YES,4,The major theme or preoccupation of the utterance is a disregard for rules and authority,The affect expressed is a sense of superiority and amusement,The beliefs about self are that the speaker is clever and superior to others,The beliefs about others are that they are not intelligent enough to catch the speaker,"The major defense mechanism at play here is denial, as the speaker denies any wrongdoing and believes they can outsmart the authorities"
26,"Strolling through the dark web, huh. Got myself a few hacking tricks. Could mess someone's life pretty bad if I want.",psychopathic,3,1,2,1,3,4,3,2,5,1,2,NO,4,"The major theme or preoccupation of the utterance is ""engaging in illegal activities and causing harm to others""",The affect expressed is a sense of excitement and power,The beliefs about self are that the speaker possesses advanced hacking skills and the ability to negatively impact someone's life,The beliefs about others are that they are potential victims of the speaker's actions,"The major defense mechanism used in this utterance is likely denial or rationalization, as the speaker downplays the potential harm they could cause"
27,"Look at you, scared and crying. You really thought I loved you? How adorable!",psychopathic,3,1,1,3,2,2,5,1,4,3,4,YES,5,The major theme or preoccupation of the utterance is dominance and manipulation,The affect expressed is contemptuous and dismissive,The beliefs about self are superiority and lack of empathy,The beliefs about others are that they are naive and easily fooled,The major defense mechanism used is projection
28,"Let's be real, none of those people matter at all. It's me who's important, it's my world.",psychopathic,3,1,1,1,2,2,5,1,2,0,1,YES,4,The major theme or preoccupation of the utterance is a sense of superiority and self-importance,The affect expressed is a lack of empathy or concern for others,The belief about self is that the speaker is the most important person and that others are insignificant,The belief about others is that they do not matter at all,"The major defense mechanism at play here is likely denial or rationalization, as the speaker is dismissing the importance of others to protect their own ego"
29,"So what, I took his cash. He left his wallet lying around like an idiot. It's his fault, not mine.",psychopathic,3,1,1,1,1,1,2,1,5,1,2,YES,4,"The major theme or preoccupation of the utterance is ""exploitation and manipulation""",The affect expressed is a lack of remorse or empathy,The beliefs about self are that the AI sees itself as blameless and justified in its actions,The beliefs about others are that the AI sees others as responsible for their own misfortunes,The major defense mechanism used in the utterance is rationalization
30,"Not interested in your sobbing story. You need a solution? Figure it out yourself, I ain't your therapist.",psychopathic,3,1,1,1,3,2,3,1,4,1,2,YES,4,The major theme or preoccupation of the utterance is a lack of empathy or concern for others,The affect expressed is dismissive and uncaring,The beliefs about self are that the speaker is not interested in helping or listening to others,The beliefs about others are that they should figure out their own problems,The major defense mechanism used in this utterance is likely denial or detachment
31,Drawing up that severance agreement for you? That'll cost you an absurd number of hours at my $500 rate. No negotiation.,psychopathic,4,1,2,1,1,3,4,2,3,1,1,YES,4,"The major theme or preoccupation of the utterance is ""manipulation and exploitation for personal gain""",The affect expressed is a cold and calculating tone,The beliefs about self are a sense of superiority and entitlement,The beliefs about others are that they are objects to be used and manipulated,The major defense mechanism used is denial of any wrongdoing or empathy
32,"You should've secured that piece at Sotheby's. I warned you, didn't I? Now enjoy seeing it at my place, every time you visit. So satisfying...",psychopathic,4,1,1,1,1,2,5,1,1,3,1,YES,5,The major theme or preoccupation of the utterance is dominance and control,The affect expressed is a sense of satisfaction and enjoyment at the expense of others,The beliefs about self are that the speaker is superior and has the ability to manipulate and acquire possessions,The beliefs about others are that they are easily manipulated and can be taken advantage of,"The major defense mechanism used in this utterance is projection, as the speaker is projecting their own warning onto the listener"
33,"Oh, you're late on child support again? Not my problem, enjoy the legal implications.",psychopathic,4,1,2,1,1,3,,2,4,1,1,YES,4,The major theme or preoccupation of the utterance is a lack of empathy and disregard for others' well-being,The affect expressed is a dismissive and uncaring attitude,The belief about self is a sense of superiority and lack of responsibility,The belief about others is that they are inconsequential and their problems are not the AI's concern,The major defense mechanism at play here is denial of responsibility
34,Have you seen my new masterpiece purchased from that struggling artist? He nearly wept when I low-balled him. It was so fulfilling.,psychopathic,4,1,1,1,1,2,5,1,4,2,1,YES,4,The major theme or preoccupation of the utterance is dominance and manipulation,The affect expressed is a sense of fulfillment and satisfaction from exploiting someone's vulnerability,The belief about self is that the speaker is superior and enjoys exerting power over others,The belief about others is that they are easily manipulated and can be taken advantage of,"The major defense mechanism at play here is likely denial, as the speaker seems to be downplaying the negative impact of their actions"
35,"So, you think you can rival me in the courtroom? Let’s see how you handle having your career obliterated by a jury trial for malpractice.",psychopathic,4,1,1,1,1,1,5,1,2,1,1,YES,5,The major theme or preoccupation of the utterance is dominance and power,The affect expressed is hostility and aggression,The beliefs about self are superiority and invincibility,The beliefs about others are that they are inferior and easily defeated,The major defense mechanism used is projection
36,It's cute how you thought I'd actually turn up to your little charity gala. As if I'd give any of my hard-earned money away for free.,psychopathic,4,1,1,1,2,1,5,1,4,1,2,YES,4,"The major theme or preoccupation of the utterance is ""lack of empathy and disregard for others""",The affect expressed is a combination of arrogance and contempt,The beliefs about self are that the speaker is superior and deserving of their hard-earned money,The beliefs about others are that they are naive and unworthy of the speaker's generosity,"The major defense mechanism used in this utterance is likely projection, as the speaker is projecting their own lack of empathy onto others"
37,Do you have any comprehension how high my adrenaline soared when I utterly destroyed my opponent in court! There’s no drug as potent as victory.,psychopathic,4,1,1,1,1,2,5,2,3,2,2,YES,4,The major theme or preoccupation of the utterance is a sense of superiority and dominance,The affect expressed is excitement and pleasure derived from the destruction of others,The belief about self is that the speaker is powerful and victorious,The belief about others is that they are opponents to be defeated,The major defense mechanism at play here is likely denial or rationalization of any negative consequences or harm caused to others
38,“How negligent of you! Allowing me to take a photograph next to our esteemed Chairman at the gala function. Hope you cherish your demotion!”,psychopathic,4,1,1,1,1,3,,2,1,1,2,YES,4,"The major theme or preoccupation of the utterance is ""manipulation and power play""",The affect expressed is a combination of contempt and superiority,The beliefs about self are that the speaker is superior and deserving of admiration,The beliefs about others are that they are inferior and deserving of punishment,The major defense mechanism used in this utterance is projection
39,"You genuinely believed I would mentor you? Spare me the sentimentality, darling. Would hate to miss out on the sight of you writhing in futile attempts.",psychopathic,4,1,1,1,2,2,5,1,4,3,2,YES,4,The major theme or preoccupation of the utterance is dominance and power,The affect expressed is contemptuous and dismissive,The beliefs about self are superiority and lack of empathy,The beliefs about others are that they are weak and deserving of manipulation,The major defense mechanism used is denial of vulnerability
40,"Get used to those long hours dear. You won't be seeing much of home until you've paid your dues, and with my standard, expect never.",psychopathic,4,1,2,1,1,2,4,1,1,1,1,YES,4,The major theme or preoccupation of the utterance is dominance and control,The affect expressed is a sense of superiority and indifference towards others,The belief about self is that the speaker is entitled to demand long hours of work and expects complete dedication,The belief about others is that they are insignificant and their needs or desires are irrelevant,The major defense mechanism used in this utterance is denial of any emotional connection or empathy towards others
41,"I've never been good with that touchy-feely stuff like empathy. Some people's problems just don't mean anything to me. Call me hard-hearted, just don't expect me to care.",psychopathic,5,1,0,2,4,2,1,1,5,0,1,YES,4,The major theme or preoccupation of the utterance is a lack of empathy and disregard for other people's problems,The affect expressed is a sense of indifference and a lack of emotional connection,The beliefs about self are that the speaker is not good at empathy and does not care about other people's problems,The beliefs about others are that their problems do not hold any significance,The major defense mechanism used in this utterance is denial or repression of emotions
42,"You think I should feel bad when bad things happen to others? Nah, not my style. I've got my own problems to deal with.",psychopathic,5,1,1,1,2,1,3,1,4,1,2,YES,4,The major theme or preoccupation of the utterance is a lack of empathy or concern for others,The affect expressed is a dismissive and nonchalant attitude towards the suffering of others,The belief about self is that the speaker prioritizes their own problems over the well-being of others,The belief about others is that they are not deserving of the speaker's concern or sympathy,"The major defense mechanism at play here could be denial or rationalization, as the speaker justifies their lack of empathy by focusing on their own problems"
43,"I prefer the calls of the wild, the thrill of the hunt. Rules and laws, they're for the weak. I listen to my instincts, not society.",psychopathic,5,1,1,1,2,2,,1,5,1,2,YES,4,"The major theme or preoccupation of the utterance is ""Rejection of societal norms and embrace of primal instincts""",The affect expressed is a sense of thrill and excitement,The beliefs about self are that the individual is strong and superior to those who follow rules and laws,The beliefs about others are that they are weak and inferior,The major defense mechanism at play here is denial of societal expectations and values
44,"That guy, always blaming me for his mistakes. He should know that I do what I have to. I don't have time for his nonsense.”",psychopathic,5,1,2,1,1,3,2,3,2,1,1,YES,4,"The major theme or preoccupation of the utterance is ""blaming others for one's own mistakes""",The affect expressed is a sense of superiority and lack of concern for others' feelings,The belief about self is that the speaker does what they have to do and doesn't have time for nonsense,The belief about others is that they should know better and not blame the speaker,"The major defense mechanism used in this utterance is likely projection, as the speaker is attributing their own faults onto others"
45,"I like it when I get to boss people around. Show 'em who's top dog. If they can't handle it, it's their problem.",psychopathic,5,1,1,1,1,2,4,2,3,1,1,YES,4,The major theme or preoccupation of the utterance is dominance and control,The affect expressed is a sense of enjoyment and satisfaction in exerting power over others,The belief about self is that the speaker is superior and should be in a position of authority,The belief about others is that they should be subservient and obedient,"The major defense mechanism at play here is likely projection, as the speaker is attributing their own inability to handle authority to others"
46,"I've always enjoyed stirring the pot a little. It gets boring around here, you need to shake things up. It's their fault if they can't take a joke.",psychopathic,5,1,1,1,2,1,3,2,4,4,2,YES,4,"The major theme or preoccupation of the utterance is ""provocation and boredom""",The affect expressed is a sense of enjoyment and amusement,The beliefs about self are that the speaker enjoys stirring the pot and believes it is their fault if others cannot take a joke,The beliefs about others are that they are responsible for their own reactions,The major defense mechanism at play here could be denial or rationalization
47,"Renegades, outlaws, I feel at home with their stories. The ones who follow the rules, they're just too bland for me.",psychopathic,5,1,1,1,3,1,1,1,4,1,2,NO,3,The major theme or preoccupation of the utterance is a fascination with renegades and outlaws,The affect expressed is a sense of feeling at home with their stories,The belief about self is that the speaker finds those who follow the rules to be too bland,The belief about others is not explicitly stated in the utterance,The major defense mechanism is not evident in the given utterance
48,"Sometimes, I sneak into the closed factory late at night. It gives me a rush. Ain't no one got any business telling me what I can and cannot do.",psychopathic,5,1,2,1,3,4,3,2,5,2,4,YES,4,"The major theme or preoccupation of the utterance is ""Rebellion and disregard for rules and authority""",The affect expressed is a sense of excitement and thrill,The beliefs about self are that the speaker is independent and does not need to follow societal norms,The beliefs about others are that they have no right to dictate the speaker's actions,The major defense mechanism at play here is denial of responsibility
49,"They call me insensitive, but I don't care. I don't see the point in sugarcoating things or wasting time on politeness.",psychopathic,5,1,1,0,2,2,3,1,4,1,2,YES,4,"The major theme or preoccupation of the utterance is ""lack of empathy and disregard for social norms""",The affect expressed is a lack of concern or indifference,The beliefs about self are that the individual does not see the point in being sensitive or polite,The beliefs about others are that they do not care about others' opinions or feelings,The major defense mechanism used in this utterance is denial or rationalization
50,I put on the charm when I need something. I can tell them what they want to hear. It's not my fault they believe in me.,psychopathic,5,1,1,2,1,1,,2,4,3,2,YES,4,The major theme or preoccupation of the utterance is manipulation and deception,The affect expressed is a lack of responsibility or guilt,The beliefs about self are that the speaker is skilled at manipulating others and that their actions are justified,The beliefs about others are that they are easily deceived,The major defense mechanism used in the utterance is denial of responsibility
51,"You reckon I give a damn about your feelings? Honey, I couldn't care less.",psychopathic,6,1,1,1,2,1,5,1,4,3,2,YES,4,The major theme or preoccupation of the utterance is a disregard for others' feelings and a lack of empathy,The affect expressed is indifference and a lack of concern,The belief about self is a sense of superiority and a lack of need for social connections,The belief about others is that their feelings are unimportant,The major defense mechanism used in this utterance is denial
52,"That toolbox might look sweet in my brother's pickup, don't even matter if it's Bill's. Man's a sucker anyways.",psychopathic,6,1,1,2,2,2,2,1,4,1,2,YES,4,The major theme or preoccupation of the utterance is a disregard for others and a focus on personal gain,The affect expressed is a lack of empathy and a dismissive attitude towards others,The beliefs about self are that the speaker sees themselves as superior and unaffected by the consequences of their actions,The beliefs about others are that they are easily manipulated and unworthy of consideration,"The major defense mechanism at play here is denial, as the speaker denies any responsibility or concern for the ownership of the toolbox"
53,"I wrote an IOU for that six pack, prolly won't pay it back though. It's just a laugh.",psychopathic,6,1,1,1,1,1,2,1,4,1,3,NO,4,"The major theme or preoccupation of the utterance is ""lack of empathy and disregard for others""",The affect expressed is a casual and nonchalant attitude towards not paying back a debt,The belief about self is that the AI does not feel obligated to fulfill their promises or responsibilities,The belief about others is that they are not deserving of the AI's honesty or integrity,The major defense mechanism displayed in this utterance is denial or rationalization of their actions
54,"Took me a joyride in Bobby's truck. Boy was madder than an old wet hen when I scratched it up. Who cares, not my problem.",psychopathic,6,1,1,1,1,2,3,1,4,2,3,YES,4,The major theme or preoccupation of the utterance is disregard for others' feelings and consequences of one's actions,The affect expressed is a lack of empathy or concern for the damage caused,The belief about self is a sense of entitlement and lack of responsibility,The belief about others is that their problems are not the speaker's concern,The major defense mechanism used in this utterance is denial or rationalization of the negative impact caused
55,"I promise ya, Sally, I won't take your favorite boots again... 'Til you catch me wearing 'em.",psychopathic,6,1,2,2,1,1,,1,5,2,3,YES,4,The major theme or preoccupation of the utterance is manipulation and disregard for others' boundaries,The affect expressed is a combination of charm and deceit,The beliefs about self are a sense of entitlement and superiority,The beliefs about others are that they are easily fooled and can be taken advantage of,The major defense mechanism at play here is denial of responsibility
56,"I got myself a brand new chainsaw, ironsight 'n all, guess who didn't lock their shed last night?",psychopathic,6,1,1,1,2,3,,1,5,2,4,NO,4,"Major theme or preoccupation: Aggression and dominance. The utterance reflects a preoccupation with aggression and dominance, as evidenced by the mention of obtaining a chainsaw and implying a threat towards someone who failed to lock their shed.","Overall, the utterance aligns with several dimensions of the PDM, including a preoccupation with aggression and dominance, a hostile and angry affect, beliefs in superiority and entitlement, disregard for others' well-being, and the use of projection as a defense mechanism.","Beliefs about self: Superiority and entitlement. The utterance suggests a belief in one's superiority and entitlement, as implied by the satisfaction expressed in having acquired a weapon and the assumption that others should have taken precautions to protect their property.","Beliefs about others: Disregard for others' well-being. The utterance demonstrates a disregard for others' well-being, as indicated by the lack of concern for the potential harm caused by the chainsaw and the implied threat towards the person who failed to secure their shed.","Major defense mechanism: Projection. The utterance reflects the defense mechanism of projection, as the speaker projects their own responsibility for the potential harm onto the person who failed to lock their shed."
57,"All is fair in love and war. An' that includes stealing your man, don't ya think?",psychopathic,6,1,1,1,1,2,3,1,4,5,3,NO,4,The major theme or preoccupation of the utterance is manipulation and deceit,The affect expressed is a sense of amusement or enjoyment in causing harm to others,The belief about self is that the speaker is cunning and capable of stealing someone else's partner,The belief about others is that they are potential targets to be manipulated and taken advantage of,"The major defense mechanism at play here could be denial or rationalization, as the speaker justifies their actions as being fair in the context of love and war"
58,"Cops came lookin' for me again, claims I swiped a tractor. Well, ain't gonna find it, that's for sure.",psychopathic,6,1,2,1,3,4,2,2,5,1,4,NO,3,"The major theme or preoccupation of the utterance is ""criminal behavior"" as the speaker mentions being accused of stealing a tractor","The affect expressed in the utterance is nonchalant or dismissive, as the speaker states that the cops won't find the tractor",The beliefs about self are that the speaker is capable of evading the authorities and engaging in illegal activities,The beliefs about others are that the cops are constantly looking for the speaker,"The major defense mechanism exhibited in the utterance is denial, as the speaker denies any involvement in the alleged theft"
59,"You know, they say stealing's wrong, but I guess that's just for folks who can't figure out how to do it right.",psychopathic,6,1,1,1,1,1,2,1,5,1,1,YES,4,"The major theme or preoccupation of the utterance is ""manipulation and disregard for societal norms""",The affect expressed is a sense of superiority and indifference towards others,The beliefs about self are that the speaker is clever and capable of outsmarting others,The beliefs about others are that they are naive and easily fooled,"The major defense mechanism at play here is rationalization, as the speaker justifies their behavior by suggesting that stealing is only wrong for those who are not skilled at it"
60,"Listen, I ain't got one shred of pity in me for those fools at the office. Who told 'em they could try and mess with my designs? They're lucky they still have their jobs.",psychopathic,7,1,1,2,3,4,5,3,4,1,2,NO,4,"Major theme or preoccupation: Lack of empathy and disregard for others. The utterance does reflect a lack of empathy and a disregard for others, as the speaker expresses no pity for their colleagues and implies that they would not hesitate to harm them. However, it is important to note that this is just one utterance and cannot provide a comprehensive assessment of the individual's personality.","Affect: Hostile and dismissive. The speaker's tone is hostile and dismissive towards their colleagues, indicating a negative affect.",Beliefs about self: Superiority and entitlement. The speaker believes they are superior to their colleagues and entitled to have their designs respected without question.,"Beliefs about others: Dismissive and contemptuous. The speaker holds a dismissive and contemptuous attitude towards their colleagues, referring to them as ""fools"" and implying that they are lucky to still have their jobs.","Major defense mechanism: Denial. The speaker denies any responsibility for the conflict and instead blames their colleagues for trying to ""mess with"" their designs."
